id,standard_smiles,cluster,syba_score
compound_2260,Cc1cc(C)n(-c2cc(-n3nc(C)cc3C)ncn2)n1,1577,47.54177153872129
compound_1864,O=c1c(=O)n(-c2cccc(Cl)c2)ccn1Cc1ccccc1F,1576,104.62594832623329
compound_0219,CN(C)S(=O)(=O)c1ccc(C(=O)Nc2ccc(F)cc2F)cc1,1575,139.63592245116047
compound_0347,CCN(CC)C(=O)c1c(C(=O)OC)c(C)n(NC(N)=O)c1C,1574,39.585219092294444
compound_2024,N#Cc1ccc2[nH]cc(C(=O)Cc3ccccc3)c2c1,1573,86.78087044339422
compound_1511,CCOCC(=O)Nc1cc(C(F)(F)F)ccc1OCC,1572,125.84841715327886
compound_1343,COc1ccc(CN2C(=O)C3(OCCCO3)c3cccc(C)c32)cc1,1571,89.61013339172202
compound_0384,COc1ccc(C2CC(c3cccs3)=Nc3nnnn32)c(OC)c1,1570,84.33409086317764
compound_2435,Cc1nnc(SCC(=O)Nc2cccc3ccccc23)s1,1569,152.7445801659905
compound_0260,Cc1cc(C)n(-c2ccc(C(=O)Nc3sccc3C(N)=O)cc2)n1,1568,145.32500962988607
compound_1131,CCOC(=O)C1=C(C)NC(=O)NC1c1cccc(F)c1,199,77.66682239819352
compound_2620,Cc1ccccc1-n1c(C)nnc1SCC(=O)OC(C)(C)C,195,120.45982573044125
compound_1523,CCOc1ncccc1C(=O)Nc1ccc(C(C)=O)cc1,158,140.4514729168939
compound_1883,O=C(Cn1c(=O)oc2ccccc21)Nc1cccc(Cl)c1,210,138.955523278533
compound_1471,COCCCNC(=O)C1CC(=O)N(c2ccc(C)cc2)C1,1567,140.37371927279966
compound_2777,O=C(Nc1cc2c(cc1Cl)OCCCO2)c1ccncc1,38,139.11230983262797
compound_1441,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccc(Cl)cn1,1566,139.25387500057346
compound_0976,CCOc1ccccc1NC(=O)c1ccc(-n2nc(C)cc2C)cc1,230,173.58296732192235
compound_0884,CSc1nc(C)c(C(=O)Nc2ccccc2)c(C)c1C#N,1565,74.95518442229351
compound_2172,O=C(CSc1ncn(-c2ccccc2)n1)Nc1ccc(F)cc1,2,154.15179397838745
compound_1901,O=C1Nc2ccc(S(=O)(=O)NCc3ccco3)c3cccc1c23,1564,101.06433171673467
compound_1485,CC(=O)Nc1ccc(NC(=O)COc2ccc(C)c(C)c2)cc1,229,161.87598785747107
compound_0553,NC(=O)c1c(NC(=O)c2noc3c2CCCC3)sc2c1CCCC2,24,124.68028452167292
compound_0549,CCC(C)C(NC(N)=O)C(=O)Nc1ccc(F)c(Cl)c1,1563,108.77356258748698
compound_1178,O=C(NCCNC(=O)c1ccncc1)c1ccccc1,1562,103.90073509100323
compound_2524,CCn1cc(Cl)c(C(=O)Nn2c(C)cc(C)cc2=O)n1,1561,80.15059366373588
compound_1017,O=C(CSc1nnc(-c2ccccc2)o1)NC1CC2CCC1C2,1560,112.46304244143012
compound_1992,Cc1nnsc1C(=O)n1nc(C(F)(F)F)cc1-c1cccs1,1559,65.64636431623997
compound_0393,N#Cc1cnc(-n2nccc2-c2ccc(Cl)cc2Cl)nc1,1558,39.73085999032959
compound_0700,COc1ccc(S(=O)(=O)N2CC(C)OC(C)C2)c(C)c1C,200,68.54500645713178
compound_0950,CCOc1ccccc1NC(=O)CCn1c(=O)oc2ccccc21,76,160.85911564115563
compound_0362,COc1ccc(C(=O)OCc2nnc(-c3ccccc3)o2)cc1OC,1557,166.32479499891969
compound_1481,Cc1ccnc(SCC(=O)NCCc2ccccc2)n1,166,147.6161681867481
compound_0399,COc1ccc(NC(=O)NCc2cnn(C)c2C)cc1,1556,135.60739429301265
compound_0133,CCOc1ccc(NC(=O)CSc2nnc(C)n2CC)cc1,125,155.2949146492011
compound_2606,Cc1ccccc1NC(=O)C1COc2ccccc2O1,1555,93.7779229187816
compound_2404,CCc1nc(SCC(=O)N2CCOCC2)c2ccccc2n1,1554,127.63688610387972
compound_0882,CCC(C)C(NC(N)=O)C(=O)Nc1ccc(Br)cc1F,1553,104.73959662294764
compound_1346,Cc1ccc(OCc2nnc(NC(=O)C3CC3)s2)cc1,1552,144.43497039196365
compound_0630,COc1ccc(OC)c(NC(=O)CS(=O)(=O)c2ccccc2)c1,1551,153.2921991647714
compound_1507,O=C(Cc1cccc(O)c1)Nc1cc(-c2ccncc2)c[nH]c1=O,1550,102.20807862676742
compound_2861,COc1ccc(OCC(=O)OCC(=O)N2CC(C)OC(C)C2)cc1,164,118.22023859709556
compound_1831,Nn1c(SCc2cn3ccccc3n2)nnc1-c1ccco1,1549,147.16700026409572
compound_1410,COC(=O)C(NC(=O)CSc1ccccn1)c1ccccc1,1548,136.8410669259761
compound_0043,Nn1c(SCCOc2ccc(Cl)cc2)nnc1-c1ccco1,1547,157.39817247446544
compound_2661,Cc1ccc(C(=O)Nc2ncn(Cc3ccc(F)cc3Cl)n2)cc1,1546,141.69090805032366
compound_1067,Cc1cccc(N2CCN(C(=O)COc3ccccc3C#N)CC2)c1C,192,154.4556231507662
compound_2774,CCc1c(C)nc(SCC(=O)NC2CCCCC2)[nH]c1=O,1545,121.06323563409273
compound_2515,COc1ccc(CCc2nc(C)ccc2O)cc1OC,187,91.96366966662079
compound_1235,COc1ccc(NC(=O)CCSc2nn3cnnc3o2)cc1,1544,134.21783578582244
compound_2821,O=C(Cn1cnc2c(cnn2-c2ccccc2)c1=O)N1CCCCC1,1543,146.42738891382123
compound_0034,CCCN1C(=O)OC(C)(CCc2ccccc2)C1(C)O,1542,45.8869371579522
compound_1272,Cc1ccc2c(c1)[nH]c1c(N3CCCCC3)ncnc12,22,71.62779949039633
compound_1526,O=C(CSc1ncnc2ccccc12)Nc1ccc2c(c1)OCO2,1541,173.18767959313118
compound_2141,CCS(=O)(=O)NC1CC(=O)N(c2ccc(OC)cc2)C1,1540,85.945904876819
compound_2264,Cc1cc(=O)[nH]c(SCc2cn3cc(Cl)ccc3n2)n1,1539,119.97082514355883
compound_0254,CC(=O)Nc1ccc(OCC(O)Cn2cnc3ccccc32)cc1,51,171.78993678724535
compound_0178,CC(C)OCCCNC(=O)NC1(C(F)(F)F)Oc2ccccc2O1,1538,105.34522247844723
compound_0206,COC(=O)CN(C)C(=O)C12CCC(C)(C(=O)O1)C2(C)C,1537,28.536015272586347
compound_2306,Cc1ccc(NC(=O)c2csc(-c3cccnc3)n2)cc1,1536,143.10042747975402
compound_1719,CC(C)C(=O)Nc1ccc(-c2nc3ccccc3c(=O)o2)cc1,1535,128.18016959465737
compound_1434,Cc1nnc(SCC(=O)Nc2ccc3c(c2)OCCO3)n(N)c1=O,228,149.82006755032552
compound_2553,O=C(NCCOC(=O)c1ccccc1Cl)c1ccncc1,1534,129.9649950973605
compound_0920,CCOC(=O)C1=C(C)C(c2ccc(OC)cc2)NC(=O)N1,1533,24.642274258005273
compound_2373,c1ccc(-c2nnc(CSc3ncnc4[nH]cnc34)o2)cc1,1532,118.51733128451099
compound_1097,COc1ccccc1N(C(C)=O)S(=O)(=O)c1ccc(Cl)cc1,1531,92.23046047774011
compound_1371,O=C(C1COc2ccccc2O1)N1CCc2ccccc2C1,1530,94.77700917688128
compound_1196,O=C(CSc1nnc(-c2ccccc2)o1)N1CCCC1,3,140.2569544338887
compound_0953,CCCn1c(C(O)c2ccc(OC)cc2)nc2ccccc21,1529,114.16552679058265
compound_1494,c1ccc(OCCOc2ncnc3ccccc23)cc1,1528,113.82003344414592
compound_1469,COc1ccc(Cc2nc(-c3ccncc3)no2)cc1,1527,121.01528734489061
compound_2205,CC(=O)Nc1ccc(NC(=O)COc2cc(C)ccc2C)cc1,229,156.38338664449083
compound_1247,CC1CCN(C(=O)c2ccc(S(=O)(=O)N3CCCC3)cc2)CC1,1526,147.46165570488867
compound_0352,COCCNC(=O)Cn1cc(C(=O)c2ccccc2)c2ccccc21,157,146.4034016677123
compound_0450,O=c1ccc(C(F)(F)F)cn1Cc1cc(=O)n2ccsc2n1,1525,113.23823471173033
compound_0674,CC1CCc2c(sc(NC(=O)Nc3ccccc3)c2C(N)=O)C1,46,128.21420851269062
compound_2089,O=C(Cn1cncn1)N1CCN(c2ccc(F)cc2)CC1,1524,116.5453726828274
compound_2937,CC(=O)c1ccc(NC(=O)CN(C(C)=O)c2ccccc2)cc1,1523,112.35717312639868
compound_0238,COc1cccc(NC(=O)CCS(=O)(=O)c2ccccc2)c1,66,169.14154084633583
compound_1567,N#Cc1c2ccc(OCC(N)=O)cc2n2ccccc12,1522,65.38144230347604
compound_0796,N#Cc1cnn2c(C(F)(F)F)cc(-c3ccccc3)nc12,1521,76.09086307780251
compound_2665,CC(C)N(C(=O)Cn1nnc2ccccc2c1=O)c1ccccc1,225,120.73238122263956
compound_1584,Cc1nc(-c2cnccn2)sc1C(=O)NCc1ccncc1,1520,127.32289239052636
compound_0534,CCOC=CC(O)(CNC(=O)c1cccnc1)C(F)(F)F,1519,45.50230612376275
compound_0963,Cc1cccc(N(CC(N)=O)S(=O)(=O)c2ccccc2)c1C,1518,115.2413548214125
compound_0027,O=C(NC1CCCC1)c1cccc(S(=O)(=O)N2CCCCC2)c1,61,150.67439705044086
compound_1292,CCC(=O)N1c2ccc(F)cc2C2OCCC2C1c1ccco1,1517,15.008164724242302
compound_0648,CCCCC(=O)Nc1ccc(C(=O)N2CCc3ccccc3C2)cc1,1516,176.6781098011569
compound_1813,O=C(NC1CCCC1)c1cc(=O)[nH]c2ccc(Br)cc12,1515,101.8294416944678
compound_2304,Nc1cc(N)nc(SCC(=O)Nc2cccc(Cl)c2Cl)n1,80,139.40376330965884
compound_0813,O=C(Cn1cc(C(F)(F)F)ccc1=O)NCc1ccc(Cl)cc1,1514,148.93713535168132
compound_0113,NC(=O)c1ccc(C(F)(F)F)n(Cc2ccc(Cl)cc2)c1=O,1513,64.9100784342087
compound_1065,Cc1cccc(OCC(=O)Nc2nc3ccccc3n2C)c1C,215,122.44013180981706
compound_1159,CNS(=O)(=O)c1cccc(C(=O)OCC(=O)C(C)(C)C)c1,1512,112.09749483154023
compound_0202,O=C(COC(=O)COc1ccccc1)Nc1ccc(F)cc1F,209,159.87416391154053
compound_1026,Cc1cc(C)n(CC(=O)Nc2cccc(C(F)(F)F)c2)n1,1511,133.81215855987784
compound_0877,Cc1ccc(N2CC(NC(=O)CCCc3ccccc3)CC2=O)cc1,1510,160.73163817200222
compound_0188,COc1ccc2cc(C)c(SCC(=O)N3CCOCC3)nc2c1,1509,140.77500550201813
compound_1155,COc1ccc2oc(C)c(C(=O)Cn3ccnc3)c2c1,1508,86.4035884786182
compound_1387,CCC(C)n1c(SC(C)C#N)nc2ccccc2c1=O,118,93.33315603027157
compound_0760,CC(=O)Nc1ccc(S(=O)(=O)NCCc2ccccc2)cc1,92,157.3149979627948
compound_1283,CC(C)CNc1ncnc2c1cnn2-c1ccc(Cl)cc1,1507,114.23422453299143
compound_0539,Cn1cccc1C(=O)N1CCC2(CCCN(c3ncccn3)C2)CC1,1506,94.02159387648648
compound_1648,COC(=O)C1CCN(C(=O)CCc2nc3ccccc3s2)CC1,1505,157.6984993176963
compound_2459,CC(=O)Nc1ccccc1-c1cnn(-c2ccccc2)c1,1504,78.36703601260898
compound_0401,CCOC(=O)c1sc(NC(=O)c2ccccc2)cc1C,1503,132.34371747956567
compound_1209,CCCCn1c(N)c(C#N)c2nc3ccccc3nc21,139,63.136966821803355
compound_2817,CCOC(=O)c1nccnc1C(=O)Nc1cccc(C(F)(F)F)c1,1502,116.94293349202657
compound_2409,CC(C)NC(=O)c1cccc2c1-c1ccccc1C2=O,1501,62.71332089594042
