index;syba_score;mce18;qed;score;standard_smiles
201;61.777558810627085;103.63636363636364;0.8530486844203274;17.153303;c1csc(-c2cnc(N3CCC4(CC3)OCCO4)nc2)c1
151;131.04962557642784;75.25083612040135;0.6407472759234732;16.789484;CCOC(=O)C(C)Oc1ccc2c3c(c(=O)oc2c1C)CCC3
46;109.78713670631348;79.19122257053291;0.8394818617630572;14.98116;O=C(NC1CCCC1)C1CCCN(S(=O)(=O)N2CCCC2)C1
403;60.74365901664661;116.3076923076923;0.7952396469799204;14.726611;Cn1nnnc1SCC(=O)C12CC3CC(CC(C3)C1)C2
102;62.20628802895028;134.4516129032258;0.8327976867413668;13.861098;O=C(NCC1CCCO1)NC12CC3CC(CC(C3)C1)C2
458;41.10902877426355;97.3875;0.8420681837830538;13.5448065;CC12CCC(C(=O)NC3CCCCC3)(CC1=O)C2(C)C
319;61.29238320965142;106.56521739130434;0.7907160135089663;10.74483;Cc1ccc(N2C(=O)c3[nH]nc(C)c3C2c2cccnc2)cc1
71;97.87734419694009;69.31400966183575;0.8898094525106295;10.307143;O=C(CC1Sc2ccccc2N=C1O)Nc1ccc(F)cc1F
136;69.62635154006392;88.81481481481481;0.7616732179038973;10.251421;CC1(C)CC2CC(C)(CN2C(=O)c2ccc(F)cc2)C1
320;123.11550600047026;90.39423076923076;0.7180371956451602;5.942026;COc1ccc2cc3cc(C(=O)N4CCC(C)CC4)oc3nc2c1
171;129.1293364622687;71.27759197324414;0.8925917337718339;5.25518;COc1ccc(N2CC(NC(=O)NC3CCCC3)CC2=O)cc1
316;54.81601063223294;173.2840909090909;0.9323870019473851;5.104343;Cn1nc(C2CC2)cc1C(=O)NC12CC3CC(CC(C3)C1)C2
400;147.299830484992;76;0.5824978122754085;5.048101;O=C(NCCc1nc2ccccc2[nH]1)c1nc(-c2cccs2)no1
266;135.96905117926522;85.12820512820512;0.7870686272993902;4.1523194;O=C(c1cc(-c2ccc(O)cc2)on1)N1CCN(c2ccccc2)CC1
28;28.536015272586347;62.31999999999999;0.7142722250793957;3.6979804;COC(=O)CN(C)C(=O)C12CCC(C)(C(=O)O1)C2(C)C
314;105.70772804268698;78.71428571428572;0.6817600774035232;2.956295;N#Cc1cc2cc3c(cc2nc1SCc1cccnc1)OCCO3
414;46.18335706469959;130.36363636363637;0.8565864069195591;2.6288242;Cc1nn(C(=O)CCC(=O)N2CCCCC2)c2c1C1C(C2)C1(C)C
30;94.77700917688128;101.7588932806324;0.8107588492362742;-1.1784126;O=C(C1COc2ccccc2O1)N1CCc2ccccc2C1
381;144.4465857128382;71.61250000000001;0.8934640192227661;-3.7033348;O=C(Nc1ccccc1Cl)NC1CC(=O)N(c2ccc(F)cc2)C1
273;136.66992151231673;77.5549872122762;0.8026213101291529;-4.8205094;O=C(Nc1ccc2c(c1)OCO2)c1ncn(-c2ccccc2)n1
321;126.47624538734736;109.80769230769228;0.8884031862668981;-7.8571253;O=C(NC1CC(=O)N(c2ccc3c(c2)OCCO3)C1)N1CCCC1
359;84.67936117125898;98.16071428571428;0.8577860300798397;-9.290791;COc1ccc(OC)c(NC(=O)C23CCC(C)(C(=O)O2)C3(C)C)c1
212;104.89012961805666;76.20779220779221;0.7934567948228736;-11.977995;c1ccc(-c2nc(NC3CC3)cc(-c3cccnc3)n2)cc1
396;81.07500623443448;56.83216783216783;0.9257054908392541;-12.017213;CC(NC(=O)Cn1nc(C(F)(F)F)cc1C1CC1)C(C)(C)C
198;95.12142364648123;74.80000000000001;0.9138027025796301;-13.649954;Cc1ccc(N2CC(NC(=O)C3CC3)CC2=O)cc1C
