,Unnamed: 0,id,standard_smiles,mol,rule_of_five,rule_of_ghose,rule_of_veber,rule_of_reos,alerts_BMS,alerts_PAINS,alerts_SureChEMBL,alerts_Chelator,alerts_AlphaScreen-Hitters,alerts_Frequent-Hitter,filters_NIBR,filter_complexity,filter_bredt,filter_molecular_graph,cluster,smiles
10,19,compound_0323,CC1CCN(C(=O)CSc2nc(=O)[nH]c3c2CCCC3)CC1,<rdkit.Chem.rdchem.Mol object at 0x7352d41834c0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,234,CC1CCN(C(=O)CSc2nc(=O)[nH]c3c2CCCC3)CC1
11,21,compound_2522,CCn1ncc(C(C#N)c2nc3ccccc3s2)c(Cl)c1=O,<rdkit.Chem.rdchem.Mol object at 0x7352d41835a0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1612,CCn1ncc(C(C#N)c2nc3ccccc3s2)c(Cl)c1=O
12,22,compound_1971,O=C(Nc1nnc(Cc2ccc(F)cc2)s1)c1cccs1,<rdkit.Chem.rdchem.Mol object at 0x7352d4183610>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1611,O=C(Nc1nnc(Cc2ccc(F)cc2)s1)c1cccs1
13,24,compound_0037,COc1ccc(-c2nc(-c3ccc4c(c3)OCO4)no2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7352d41836f0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1610,COc1ccc(-c2nc(-c3ccc4c(c3)OCO4)no2)cc1OC
14,25,compound_0466,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cccnc1,<rdkit.Chem.rdchem.Mol object at 0x7352d4183760>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1609,O=C(Nc1cccc(-c2nc3ccccc3[nH]2)c1)c1cccnc1
15,27,compound_0827,O=C(c1cccnc1)C(CCc1ccccn1)c1ccccn1,<rdkit.Chem.rdchem.Mol object at 0x7352d4183840>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1608,O=C(c1cccnc1)C(CCc1ccccn1)c1ccccn1
16,29,compound_0120,O=C(OCCNC1=NS(=O)(=O)c2ccccc21)c1ccco1,<rdkit.Chem.rdchem.Mol object at 0x7352d4183920>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1607,O=C(OCCNC1=NS(=O)(=O)c2ccccc21)c1ccco1
17,31,compound_2815,Cc1cccn2cc(CNS(=O)(=O)c3cc(F)ccc3F)nc12,<rdkit.Chem.rdchem.Mol object at 0x7352d4183a00>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,28,Cc1cccn2cc(CNS(=O)(=O)c3cc(F)ccc3F)nc12
18,32,compound_0192,c1ccc(-n2nnnc2Sc2ncnc3sccc23)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352d4183a70>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1606,c1ccc(-n2nnnc2Sc2ncnc3sccc23)cc1
19,34,compound_1509,Cc1nc(NCCC#N)cc(-c2cncc(-c3ccc(F)cc3)c2)n1,<rdkit.Chem.rdchem.Mol object at 0x7352d4183b50>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1605,Cc1nc(NCCC#N)cc(-c2cncc(-c3ccc(F)cc3)c2)n1
20,35,compound_0731,OC1(c2ccccn2)c2ccccc2-c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7352d4183bc0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1604,OC1(c2ccccn2)c2ccccc2-c2ccccc21
21,36,compound_2068,CCOC(=O)c1c(NC(=O)N2CCOCC2)sc2c1CCCC2,<rdkit.Chem.rdchem.Mol object at 0x7352d4183c30>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,163,CCOC(=O)c1c(NC(=O)N2CCOCC2)sc2c1CCCC2
22,39,compound_0593,Cc1cccc(C)c1NC(=O)C(C)Cn1nc(C(F)(F)F)cc1C,<rdkit.Chem.rdchem.Mol object at 0x7352d4183d80>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1603,Cc1cccc(C)c1NC(=O)C(C)Cn1nc(C(F)(F)F)cc1C
23,40,compound_0878,CC(=O)c1ccc(OCCn2cnc3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352d4183df0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1602,CC(=O)c1ccc(OCCn2cnc3ccccc32)cc1
24,44,compound_1578,CCc1cccc(C)c1NC(=O)COc1ccc(C)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7352d41833e0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,233,CCc1cccc(C)c1NC(=O)COc1ccc(C)cc1OC
25,47,compound_2776,CCCN1C(=O)C(O)(CC(=O)c2ccccc2Cl)c2ccccc21,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c120>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1601,CCCN1C(=O)C(O)(CC(=O)c2ccccc2Cl)c2ccccc21
26,48,compound_0833,COc1cccc(C(=O)NCc2n[nH]c(=O)c3ccccc23)c1OC,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c190>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1600,COc1cccc(C(=O)NCc2n[nH]c(=O)c3ccccc23)c1OC
27,50,compound_0198,NC(=O)Cn1nnc(-c2ccccc2NC(=O)C2CC2)n1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c270>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1599,NC(=O)Cn1nnc(-c2ccccc2NC(=O)C2CC2)n1
28,51,compound_2912,CCOC(=O)C1=C(OC)C(=O)N(c2ccccc2)C1c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c2e0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1598,CCOC(=O)C1=C(OC)C(=O)N(c2ccccc2)C1c1ccccc1
29,54,compound_1786,COc1ccc(-c2c3c([nH]c(=O)c2C#N)CCCC3)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c430>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1597,COc1ccc(-c2c3c([nH]c(=O)c2C#N)CCCC3)cc1
30,55,compound_0119,O=c1[nH]c2ccc(S(=O)(=O)Nc3cccc(Cl)c3)cc2s1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c4a0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1596,O=c1[nH]c2ccc(S(=O)(=O)Nc3cccc(Cl)c3)cc2s1
31,56,compound_2388,Cc1ccccc1C(=O)NCC(=O)c1ccc(Br)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c510>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1595,Cc1ccccc1C(=O)NCC(=O)c1ccc(Br)cc1
32,59,compound_1302,COC(=O)C1=C(C)N(C)C(C)=C(C(=O)OC)C1c1cccs1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c660>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1594,COC(=O)C1=C(C)N(C)C(C)=C(C(=O)OC)C1c1cccs1
33,60,compound_1876,COc1ccc(S(=O)(=O)Nc2ccc(F)c(F)c2)cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c6d0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,232,COc1ccc(S(=O)(=O)Nc2ccc(F)c(F)c2)cc1OC
34,61,compound_2013,CCCn1nnnc1NC(=O)c1ccc2ccccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c740>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1593,CCCn1nnnc1NC(=O)c1ccc2ccccc2c1
35,62,compound_0183,CC(=O)Nc1ccc(NC(=O)c2ccccc2NC(C)=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c7b0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,227,CC(=O)Nc1ccc(NC(=O)c2ccccc2NC(C)=O)cc1
36,64,compound_1710,O=C(COC(=O)c1cccc(O)c1)NC1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c890>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,153,O=C(COC(=O)c1cccc(O)c1)NC1CCCCC1
37,65,compound_2361,CC1CCc2onc(-c3nnc(-c4ccccc4)o3)c2C1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c900>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,77,CC1CCc2onc(-c3nnc(-c4ccccc4)o3)c2C1
38,67,compound_1360,CCOC(=O)c1cc(NC(=O)N2CCOCC2)c(C)nc1C,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1c9e0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1592,CCOC(=O)c1cc(NC(=O)N2CCOCC2)c(C)nc1C
39,68,compound_1916,COc1ccccc1N1CCN(C(=O)c2c(C)noc2C)CC1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1ca50>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,231,COc1ccccc1N1CCN(C(=O)c2c(C)noc2C)CC1
40,69,compound_0793,CCOC(=O)c1ccc(NC(=O)CCn2nnc3ccccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1cac0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1591,CCOC(=O)c1ccc(NC(=O)CCn2nnc3ccccc32)cc1
41,70,compound_1320,COc1ccc(OCC(O)CNC(=O)Nc2ccccc2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1cb30>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1590,COc1ccc(OCC(O)CNC(=O)Nc2ccccc2)cc1
42,74,compound_0568,CS(=O)(=O)N1CCC(C(=O)NCc2ccccc2Cl)CC1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1ccf0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1589,CS(=O)(=O)N1CCC(C(=O)NCc2ccccc2Cl)CC1
43,76,compound_0211,CCC1Oc2ccccc2N(CC(=O)NCc2cccs2)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1cdd0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,220,CCC1Oc2ccccc2N(CC(=O)NCc2cccs2)C1=O
44,78,compound_2666,COc1ccc(-c2noc(-c3cc(OC)c(OC)c(OC)c3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1ceb0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1588,COc1ccc(-c2noc(-c3cc(OC)c(OC)c(OC)c3)n2)cc1
45,81,compound_0239,O=C(Nc1ccc(F)cc1F)c1ccc2ncccc2c1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d000>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1587,O=C(Nc1ccc(F)cc1F)c1ccc2ncccc2c1
46,82,compound_1753,COc1ccc(-c2nnc(SCC(=O)N3CCCCCC3)o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d070>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,3,COc1ccc(-c2nnc(SCC(=O)N3CCCCCC3)o2)cc1
47,83,compound_1085,COc1ccc(OCCOC(=O)c2ccc3ccccc3n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d0e0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1586,COc1ccc(OCCOC(=O)c2ccc3ccccc3n2)cc1
48,84,compound_0107,CC1CCc2c(sc3ncn(CC(=O)N4CCOCC4)c(=O)c23)C1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d150>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1585,CC1CCc2c(sc3ncn(CC(=O)N4CCOCC4)c(=O)c23)C1
49,90,compound_2766,COc1ccc(NC(=O)CSc2nc3ccccc3o2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d3f0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,67,COc1ccc(NC(=O)CSc2nc3ccccc3o2)cc1
50,91,compound_0762,CC(=O)c1ccc(NC(=O)C(C)Sc2nc(C)cc(=O)[nH]2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d460>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,29,CC(=O)c1ccc(NC(=O)C(C)Sc2nc(C)cc(=O)[nH]2)cc1
51,92,compound_0208,CCOC(=O)C1=C(C)NC(=O)C(C(N)=O)C12CCCCC2,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d4d0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1584,CCOC(=O)C1=C(C)NC(=O)C(C(N)=O)C12CCCCC2
52,93,compound_0341,COc1ccc(CNC(=O)c2ccc(=O)n(Cc3ccccc3)n2)cc1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d540>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1583,COc1ccc(CNC(=O)c2ccc(=O)n(Cc3ccccc3)n2)cc1
53,94,compound_1727,CC1(C)Cc2c(sc3nc(NCCO)n4ncnc4c23)CO1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d5b0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1582,CC1(C)Cc2c(sc3nc(NCCO)n4ncnc4c23)CO1
54,97,compound_2916,CN(CC(=O)Nc1ccc(F)c(F)c1F)C(=O)C1CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d700>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1581,CN(CC(=O)Nc1ccc(F)c(F)c1F)C(=O)C1CCCCC1
55,99,compound_0461,COc1cc(NC(=O)c2ccc(F)cc2)cc(-n2cnnn2)c1,<rdkit.Chem.rdchem.Mol object at 0x7352c0f1d7e0>,True,True,True,True,True,True,True,True,True,True,True,True,True,True,1580,COc1cc(NC(=O)c2ccc(F)cc2)cc(-n2cnnn2)c1
