id,standard_smiles,syba_score,mce18
compound_0883,CC1CCN(C(=O)c2ccc(NC(=O)c3ccc(=O)[nH]c3)cc2)CC1,148.47120588064485,56.168000000000006
compound_2236,O=C1CCN(C(=O)OCC2c3ccccc3-c3ccccc32)CC1,71.99597717337144,86.41025641025641
compound_0016,CCOC(=O)c1ccc(NC(=O)C23CCC(C)(C(=O)O2)C3(C)C)cc1,94.27490246506524,98.02758620689656
compound_0635,Cc1cc(C)nc(-n2ncc3c2CC(C)(C)CC3=O)n1,37.1804405625822,60.88636363636364
compound_0348,CCc1ccccc1N1CC23C=CC(O2)C(C(=O)OC)C3C1=O,27.645921225914748,144.92307692307693
compound_1942,CC(Sc1nc(N)cc(N)n1)C(=O)Nc1cccc2ccccc12,148.72151870608388,68.0
compound_1102,Cn1nc(C(=O)OC2CCOC2=O)c2ccccc2c1=O,58.97045384105616,71.77777777777779
compound_1591,O=C1CC2(CCN(C(=O)C3CC3)CC2)Oc2ccccc21,77.44775094336919,116.76923076923076
compound_0311,Cc1nn(C)cc1S(=O)(=O)Nc1cnn(Cc2ccccc2F)c1,145.29265123275533,57.0
compound_2096,CC(=O)Nc1cccc(NC(=O)C2CC3CCC2C3)c1,81.0754149638377,71.46666666666667
compound_0388,Cc1ccc2c(c1)N(CC(=O)NCC1CCCO1)C(=O)CO2,108.5860078328168,68.84848484848484
compound_1328,COC1COC2C(NC(=O)Nc3ccc(C(C)=O)cc3)COC12,83.24705401522445,73.91304347826086
compound_0207,O=C(c1nn(-c2ccccc2)c(=O)c2ccccc12)N1CCOCC1,109.01853131601132,85.28695652173914
compound_2516,O=C(NCC1CCCO1)c1cccc(-c2cccs2)c1,119.11513310746317,60.266666666666666
compound_2775,CS(=O)(=O)c1ccccc1C(=O)Nc1ccc2c(c1)OCO2,129.70514131122303,55.44385026737967
compound_2437,Cc1nn(C(=O)c2ccc3ncccc3c2)c2c1C1C(C2)C1(C)C,56.82427604523501,174.9135802469136
compound_1925,O=C(CC1COc2ccccc2O1)Nc1cccc(C(F)(F)F)c1,105.76227749088932,74.42857142857142
compound_1760,O=C(CC1Sc2ccccc2N=C1O)Nc1ccc(F)cc1F,97.87734419694009,69.31400966183575
compound_1524,N#Cc1cnc2c(-c3ccccc3)c(-c3ccccc3)nn2c1N,35.58758719486013,80.0
compound_0559,O=C(CSc1ccc2nnc(-c3ccncc3)n2n1)N1CCCC1,158.01661235367337,80.82539682539682
