ID	pCHEMBL
0	7.444189586587962
1	6.0
2	5.376750709602099
3	5.673876829498338
4	4.674474782759512
5	6.055517327849832
6	5.31740581593645
7	5.459522695616385
8	7.678659193392824
9	5.2399999527072705
10	7.348654754596817
11	7.2333878264526525
12	7.68497125055476
13	7.463638248999537
14	7.427232590626144
15	7.364689459191247
16	6.209391132457935
17	6.414539270491499
18	4.938586794436806
19	5.334419008982047
20	6.42248852035716
21	7.964842136914703
22	6.963211747351009
23	7.242129291665318
24	6.471772609722955
25	7.880419358044021
26	7.075827978419143
27	7.110403427002687
28	7.035328886177027
29	5.93704216591549
30	5.939302159646388
31	7.680061560019691
32	5.060480747381382
33	7.180456064458132
34	8.1249387366083
35	6.56335714133826
36	6.025949097207123
37	5.0
38	5.366531544420414
39	5.6777807052660805
40	5.00436480540245
41	6.262012673666569
42	6.219999701663429
43	6.699991797446187
44	6.090699028348045
45	4.823447913023175
46	5.301526527217448
47	4.897923044706484
48	7.211329034552083
49	6.301029995663981
50	8.829738284605043
51	6.88907375773358
52	5.0
53	6.0
54	7.673664139071248
55	7.772884917410875
56	7.050609993355087
57	6.42021640338319
58	6.4089353929735005
59	6.236572006437063
60	5.411168274405793
61	6.236572006437063
62	7.565741788434323
63	4.749579997691106
64	4.749579997691106
65	4.673664139071248
66	4.673664139071248
67	5.659159450187668
68	8.928117992693874
69	7.622062572163754
70	5.258848401148215
71	6.359518563029578
72	6.382999658879101
73	6.449771646944906
74	5.301725423325633
75	7.387004343967653
76	7.712198270069774
77	9.008773924307505
78	5.838033383635925
79	5.2489519651798116
80	5.272052290455203
81	5.432268037451931
82	5.653647025549361
83	5.741602195904491
84	6.00467199092259
85	5.29073003902417
86	9.0
87	5.955852379121277
88	5.014633679469924
89	5.140261848067238
90	6.996026561786403
91	5.400339118360446
92	4.716877444620145
93	5.999891453513884
94	4.677598594623468
95	4.341035157335565
96	4.990549104201306
97	6.493494967595128
98	5.735890843694191
99	5.6020599913279625
100	6.516449592055395
101	7.0
102	8.0
103	9.154901959985743
104	7.823908740944319
105	9.443697499232712
106	9.3767507096021
107	8.995678626217357
108	6.385902515018325
109	7.189969213594161
110	8.389978975335854
111	7.3979400086720375
112	6.236572006437063
113	7.009188989672039
114	9.267606240177031
115	8.110924374808178
116	6.414539270491499
117	5.292429823902063
118	6.1249387366083
119	5.290000325166601
120	6.0
121	4.47899994445624
122	5.269999835325842
123	7.463941253499563
124	7.698970004336019
125	7.327902142064283
126	6.060480747381382
127	8.319664486585436
128	7.335358024443875
129	6.1154311850816665
130	8.325138859262188
131	9.2839966563652
132	8.197910742118268
133	8.630784142589857
134	6.455832699682682
135	5.954512724652715
136	7.198527686478529
137	5.384543410452051
138	7.458795309316741
139	8.493494967595128
140	5.55989416096334
141	8.422508200162774
142	6.531150714458887
143	4.4554359025039565
144	4.814741234703415
145	4.447818661160664
146	4.284665316207687
147	4.374996398985137
