from_smiles	to_smiles	property	radius	environment	count	avg	std	kurtosis	skewness	min	q1	median	q3	max	paired_t	p_value
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1	pCHEMBL	0	[*:1]	3	-0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6109243748081781	-0.45819328110613355	0.0	0.4515449934959719	0.6020599913279625	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1	pCHEMBL	1	C[*:1]	3	-0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6109243748081781	-0.45819328110613355	0.0	0.4515449934959719	0.6020599913279625	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1	pCHEMBL	2	C/C(=C)[*:1]	3	-0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6109243748081781	-0.45819328110613355	0.0	0.4515449934959719	0.6020599913279625	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1	pCHEMBL	3	c/C=C(\C(c)=O)[*:1]	3	-0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6109243748081781	-0.45819328110613355	0.0	0.4515449934959719	0.6020599913279625	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1	pCHEMBL	4	cc(/C=C(\C(=O)c(c)c)[*:1])c	3	-0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6109243748081781	-0.45819328110613355	0.0	0.4515449934959719	0.6020599913279625	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1	pCHEMBL	5	ccc(/C=C(\C(=O)c(cc)cc)[*:1])cc	3	-0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6109243748081781	-0.45819328110613355	0.0	0.4515449934959719	0.6020599913279625	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Cl)cc1	[*:1]SCc1ccc(Br)cc1	pCHEMBL	0	[*:1]	3	0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6020599913279625	-0.4515449934959719	0.0	0.45819328110613355	0.6109243748081781	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Cl)cc1	[*:1]SCc1ccc(Br)cc1	pCHEMBL	1	C[*:1]	3	0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6020599913279625	-0.4515449934959719	0.0	0.45819328110613355	0.6109243748081781	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Cl)cc1	[*:1]SCc1ccc(Br)cc1	pCHEMBL	2	C/C(=C)[*:1]	3	0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6020599913279625	-0.4515449934959719	0.0	0.45819328110613355	0.6109243748081781	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Cl)cc1	[*:1]SCc1ccc(Br)cc1	pCHEMBL	3	c/C=C(\C(c)=O)[*:1]	3	0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6020599913279625	-0.4515449934959719	0.0	0.45819328110613355	0.6109243748081781	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Cl)cc1	[*:1]SCc1ccc(Br)cc1	pCHEMBL	4	cc(/C=C(\C(=O)c(c)c)[*:1])c	3	0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6020599913279625	-0.4515449934959719	0.0	0.45819328110613355	0.6109243748081781	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Cl)cc1	[*:1]SCc1ccc(Br)cc1	pCHEMBL	5	ccc(/C=C(\C(=O)c(cc)cc)[*:1])cc	3	0.0029547944934051884	0.6064975813888687	-1.4999999999999996	-0.0048717825938106	-0.6020599913279625	-0.4515449934959719	0.0	0.45819328110613355	0.6109243748081781	-0.008438375264057498	0.9940332738445825
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1Cl	pCHEMBL	0	[*:1]	3	0.19773186928258232	0.7003168503115084	-1.5000000000000002	-0.3849001794597505	-0.6109243748081781	-0.3076782832741429	0.6020599913279625	0.6020599913279625	0.6020599913279625	0.4890381314124612	0.6731862463387686
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1Cl	pCHEMBL	1	C[*:1]	3	0.19773186928258232	0.7003168503115084	-1.5000000000000002	-0.3849001794597505	-0.6109243748081781	-0.3076782832741429	0.6020599913279625	0.6020599913279625	0.6020599913279625	0.4890381314124612	0.6731862463387686
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1Cl	pCHEMBL	2	C/C(=C)[*:1]	3	0.19773186928258232	0.7003168503115084	-1.5000000000000002	-0.3849001794597505	-0.6109243748081781	-0.3076782832741429	0.6020599913279625	0.6020599913279625	0.6020599913279625	0.4890381314124612	0.6731862463387686
[*:1]SCc1ccc(Br)cc1	[*:1]SCc1ccc(Cl)cc1Cl	pCHEMBL	3	c/C=C(\C(c)=O)[*:1]	3	0.19773186928258232	0.7003168503115084	-1.5000000000000002	-0.3849001794597505	-0.6109243748081781	-0.3076782832741429	0.6020599913279625	0.6020599913279625	0.6020599913279625	0.4890381314124612	0.6731862463387686
